rows,alloc_time_ns,put_time_ns,run_time_ns,run_time_2_ns,get_output_time_ns,total_time_ns
1,109,64081,89293,99420,72629,325532
1,93,50420,74767,69096,49052,243428
1,41,47596,75676,73109,48679,245101
1,33,51212,70609,70510,49003,241367
1,33,43198,75887,66285,47513,232916
1,25,57279,74307,69397,68023,269031
1,32,56703,82790,69246,50848,259619
1,31,45612,68429,67091,48897,230060
1,32,45605,69329,69163,49750,233879
1,33,46575,71556,67745,47325,233234
1,34,48902,69029,68076,55739,241780
1,33,45790,65423,65246,46503,222995
1,34,74926,71056,67614,46251,259881
1,32,51038,65473,76582,44981,238106
1,31,45718,65722,64981,46861,223313
1,32,45631,69421,68037,47001,230122
1,37,47951,71402,65217,45556,230163
1,45,44811,67296,63764,47831,223747
1,41,45429,72644,64751,46890,229755
1,32,46573,64018,65685,45252,221560
1,33,46162,64373,63437,48477,222482
1,34,44771,67711,62864,44233,219613
1,32,45780,64097,66508,45250,221667
1,30,46097,64078,64813,47747,222765
1,32,44808,79511,79619,43507,247477
1,32,47329,73547,67348,54582,242838
1,31,46016,62524,62548,45487,216606
1,31,44911,63570,64227,48051,220790
1,33,45496,69137,63913,50582,229161
1,32,54335,70681,71565,85818,282431
1,34,67191,67735,70447,48740,254147
1,26,44443,66130,65056,115489,291144
1,32,45580,87036,64855,113318,310821
1,31,44695,132233,63967,119282,360208
1,32,43595,136170,66385,117233,363415
1,32,45912,138059,64436,56126,304565
1,33,84689,98089,67834,46319,296964
1,34,115345,62548,131331,44664,353922
1,31,115971,63130,132903,45797,357832
1,31,112315,62469,137094,46822,358731
1,32,112878,64499,131562,45335,354306
1,33,116066,65436,135741,44374,361650
1,33,110838,71751,65845,49228,297695
1,30,118658,63743,131829,50571,364831
1,31,64719,91217,63555,54478,274000
1,33,119774,64088,135565,44979,364439
1,31,116927,65782,131442,46062,360244
1,32,114861,66309,68848,50347,300397
1,32,44938,64540,63956,51257,224723
1,33,47369,67157,66130,53314,234003
1,34,44674,61883,62886,45247,214724
1,32,51211,63674,69393,78912,263222
1,33,56988,63752,67923,44474,233170
1,33,44680,69151,64367,49070,227301
1,31,43986,69194,64453,45432,223096
1,32,43172,62695,66705,45709,218313
1,32,43717,65803,62642,49316,221510
1,32,43097,65919,64483,45578,219109
1,32,50995,66492,73010,77916,268445
1,31,48145,77181,77059,48384,250800
1,32,45699,63754,63440,46320,219245
1,34,46289,67212,64619,44922,223076
1,33,45083,68871,67202,44713,225902
1,30,43238,65292,63053,46060,217673
1,33,44952,77142,63685,45441,231253
1,33,45605,62972,66970,44428,220008
1,32,45761,65467,64298,49949,225507
1,33,43893,75732,63770,49702,233130
1,30,44979,66193,64407,42640,218249
1,33,46291,62057,67023,44990,220394
1,35,43690,75623,64893,49321,233562
1,33,50550,73782,63315,43898,231578
1,32,43965,62416,66577,44886,217876
1,33,43128,61543,66048,46644,217396
1,32,45172,74397,64932,54142,238675
1,33,45180,62530,59829,44207,211779
1,32,43625,62740,62750,44964,214111
1,32,43622,67552,62367,45286,218859
1,31,46098,62804,67472,46130,222535
1,33,42928,70787,63040,45450,222238
1,33,42427,66597,65473,45932,220462
1,32,45212,61896,65497,50830,223467
1,38,43314,67841,64891,46611,222695
1,28,55949,91432,78521,47255,273185
1,41,44414,63131,63041,44958,215585
1,32,57600,65471,65545,44971,233619
1,33,47678,68371,66417,47719,230218
1,34,44129,62301,62885,45728,215077
1,41,43686,63097,63742,45682,216248
1,32,47330,67345,74749,46220,235676
1,32,45359,67182,66931,75589,255093
1,33,73761,63485,65673,48831,251783
1,33,46074,64333,61656,43458,215554
1,35,47804,66217,63134,44325,221515
1,33,44643,66456,64383,45295,220810
1,32,44533,65995,66353,48137,225050
1,31,57959,65420,81027,44330,248767
1,32,43852,67827,68333,47675,227719
1,32,49244,62623,64309,44911,221119
1,32,46486,68371,66058,46075,227022
1,32,56499,62055,62909,53632,235127
1,33,47323,58856,64076,48438,218726
1,32,43054,68334,62911,46872,221203
1,33,50574,62128,70484,51701,234920
1,31,47964,64980,69611,53413,235999
1,34,44516,60337,70820,41856,217563
1,33,43318,62655,65499,47531,219036
1,32,56673,62645,67348,44477,231175
1,32,44184,62742,62691,44551,214200
1,33,43789,61961,67563,45382,218728
1,32,44457,62516,66399,43954,217358
1,35,44264,63019,78311,45602,231231
1,33,43808,71021,61303,43998,220163
1,32,43837,74299,64871,43932,226971
1,31,52050,67764,62196,45707,227748
1,32,43218,66417,61830,44976,216473
1,33,44309,65067,73759,47445,230613
1,32,48099,65209,64158,43886,221384
1,33,43651,69760,62845,53061,229350
1,31,43119,62358,63118,54245,222871
1,31,47031,75424,66573,45061,234120
1,31,67698,66931,65148,44229,244037
1,33,43340,66651,64304,51016,225344
1,32,43418,62759,64948,45951,217108
1,33,46915,67041,66093,45033,225115
1,31,46679,68806,64866,49071,229453
1,33,43334,61689,64598,49961,219615
1,31,44083,62797,66888,44174,217973
1,32,43365,65937,62105,44775,216214
1,33,44853,67075,63074,44544,219579
1,31,44102,62537,62783,47709,217162
1,31,45455,68685,67164,49963,231298
1,42,49552,61178,62776,44170,217718
1,31,43681,63652,62175,46832,216371
1,33,43047,67009,62859,44910,217858
1,32,44132,61225,67673,43753,216815
1,31,43716,64070,62071,44103,213991
1,32,43397,66472,63467,45072,218440
1,31,43210,62051,67280,43501,216073
1,32,42557,62372,64532,48468,217961
1,30,43005,63122,63900,45728,215785
1,31,47194,63123,65943,43808,220099
1,31,42991,65833,68535,48714,226104
1,30,61938,62774,70487,63082,258311
1,35,75970,65322,64072,52706,258105
1,31,44688,61699,66186,51573,224177
1,30,44588,63352,62218,45470,215658
1,31,45172,67224,64201,47646,224274
1,32,43863,63893,66834,43871,218493
1,32,46078,67346,80844,46466,240766
1,33,43713,69648,61889,60798,236081
1,32,46285,62495,74668,45278,228758
1,34,46013,70902,98433,44183,259565
1,33,42739,63269,71414,44894,222349
1,33,45149,65784,63145,47614,221725
1,31,43494,62541,64861,45193,216120
1,32,47936,62344,65230,45703,221245
1,33,61788,62173,61662,43932,229588
1,32,44434,66045,64686,43945,219142
1,32,45726,67919,68652,43644,225973
1,33,43898,59603,63941,48333,215808
1,33,43861,62183,61692,46333,214102
1,33,48739,61894,64631,45860,221157
1,33,44352,66216,62606,51203,224410
1,32,42986,62541,62183,44518,212260
1,33,46133,61321,62180,45500,215167
1,31,43273,67820,62842,59593,233559
1,31,44824,62672,60123,44252,211902
1,31,46017,64718,63010,51476,225252
1,31,44459,66992,63179,45049,219710
1,32,43812,61236,61961,46091,213132
1,31,43548,62852,62307,47069,215807
1,34,43760,65128,62150,47560,218632
1,30,45400,83021,63520,44888,236859
1,31,47652,62132,61621,64808,236244
1,33,69358,62948,64076,46509,242924
1,32,44343,67247,63608,44001,219231
1,33,44534,66229,69593,56252,236641
1,32,49630,62103,78916,43093,233774
1,31,43151,66393,61766,48822,220163
1,34,44438,65620,64683,47921,222696
1,31,58776,74083,70392,45539,248821
1,33,43283,62430,61925,48737,216408
1,32,42786,70396,62956,43987,220157
1,33,43957,61033,67403,45328,217754
1,31,64491,63948,63421,53671,245562
1,32,43508,65472,61890,53024,223926
1,33,43197,62594,61259,43430,210513
1,33,43295,62847,61667,44621,212463
1,30,46604,64916,61528,46460,219538
1,32,47023,61464,66204,43439,218162
1,31,43084,62022,62533,43540,211210
1,33,43635,62398,65951,44263,216280
1,32,47857,64029,66076,44987,222981
1,33,41961,65196,61043,42590,210823
1,31,43470,61255,62246,47050,214052
1,33,43115,61630,64406,43705,212889
1,32,42596,62091,62514,43382,210615
1,31,48551,63085,66805,44700,223172
1,31,43271,64329,65875,47502,221008
1,29,43666,64351,65412,44041,217499
1,32,43566,62842,65590,44578,216608
1,33,42992,65283,64917,43621,216846
1,31,43852,61943,65934,44325,216085
1,31,42627,62074,62410,45551,212693
1,33,66972,82499,67025,91515,308044
1,32,56801,62836,61698,45484,226851
1,32,43350,65127,61303,45578,215390
1,33,43478,61788,66005,43494,214798
1,31,42361,62086,64943,46427,215848
1,34,42754,78095,60780,44787,226450
1,32,43737,70961,64253,43885,222868
1,28,42163,63060,62894,46815,214960
1,32,43049,60518,64656,46029,214284
1,32,44362,68483,75580,60301,248758
1,31,48119,63174,73157,44452,228933
1,31,44100,64657,61709,46988,217485
1,32,42903,62456,60350,44466,210207
1,32,43734,59566,61194,44842,209368
1,31,42685,62816,59720,44489,209741
1,33,44188,64378,63081,42913,214593
1,31,44651,63585,59913,47253,215433
1,32,43767,60373,60582,43964,208718
1,31,44224,64550,67944,45039,221788
1,33,43312,62382,60286,44359,210372
1,33,44072,59677,63796,44912,212490
1,32,42625,63344,59285,45806,211092
1,31,43259,59934,61134,47100,211458
1,33,45444,59565,59359,51499,215900
1,31,42099,63633,69109,44918,219790
1,32,47530,63996,84507,53683,249748
1,33,43587,59816,64502,43532,211470
1,32,44867,63546,58708,49100,216253
1,32,42842,58889,62008,43648,207419
1,31,44731,60807,61116,54359,221044
1,31,43040,67624,70606,44030,225331
1,32,44479,59537,59254,53405,216707
1,34,53915,90575,85168,44493,274185
1,32,47482,65480,60185,43929,217108
1,31,43500,63372,59632,51517,218052
1,31,43115,59154,63771,43344,209415
1,31,43593,58121,60385,52392,214522
1,30,43108,59021,59144,53342,214645
1,31,47437,59852,60619,61770,229709
1,33,49229,59474,69007,48295,226038
1,33,43825,61066,65214,43318,213456
1,31,48331,59456,61370,44560,213748
1,31,43482,66478,61161,43749,214901
1,31,43682,60117,64796,44141,212767
1,33,43136,63047,59150,46151,211517
1,31,42865,61251,60354,42739,207240
1,32,47489,59452,65096,45503,217572
1,31,52315,61262,62576,47077,223261
1,30,43699,67832,60460,44194,216215
1,31,46878,60109,60716,44317,212051
1,32,44542,63131,59036,43559,210300
1,32,44046,59564,70024,42753,216419
1,30,42463,61529,58763,46629,209414
1,32,50538,59552,60887,47660,218669
1,32,50207,60785,61299,46424,218747
1,32,44631,72734,60479,47105,224981
1,33,42505,59607,61036,46188,209369
1,25,42476,62941,59852,45037,210331
1,33,53784,64387,71763,53085,243052
1,32,42396,58690,61272,44063,206453
1,31,42871,61013,59823,46619,210357
1,27,49135,64868,59934,43315,217279
1,34,39732,60437,64523,61143,225869
1,31,43713,63352,78398,51206,236700
1,31,47275,102115,67407,44116,260944
1,32,42701,62997,59342,43720,208792
1,33,44230,59497,62633,42790,209183
1,32,41927,63775,59014,42997,207745
1,32,43800,59163,63078,42761,208834
1,32,42195,60498,59552,48451,210728
1,32,42743,62868,59678,44240,209561
1,32,46574,59935,63943,53955,224439
1,31,42780,63173,61141,43731,210856
1,32,43090,75469,107605,50638,276834
1,30,45965,59064,59303,49052,213414
1,32,42311,60291,59898,44808,207340
1,32,42892,61338,60268,42580,207110
1,32,45398,58559,59060,43422,206471
1,30,42137,62667,59184,44072,208090
1,32,45952,59567,63465,44675,213691
1,31,44365,64277,59556,43303,211532
1,33,43939,59763,58854,40773,203362
1,33,50179,60388,58687,44875,214162
1,33,66361,69317,60387,43705,239803
1,33,42675,58923,62569,43530,207730
1,31,46106,62684,58458,44941,212220
1,33,43597,60324,65100,46352,215406
1,32,48733,60339,60069,60531,229704
1,32,42102,73908,58824,47417,222283
1,32,41934,62427,60471,44528,209392
1,31,46920,59242,59211,52772,218176
1,34,42633,63706,58469,43480,208322
1,35,41939,59055,70405,42828,214262
1,32,43671,58011,60213,47217,209144
1,32,47330,58498,60318,44131,210309
1,30,42659,60656,71753,44582,219680
1,33,72035,65294,59650,46297,243309
1,31,48740,60678,61571,43246,214266
1,31,45354,59169,59502,45800,209856
1,31,41919,69461,58487,43166,213064
1,31,44025,58970,63622,42937,209585
1,31,43075,64088,59080,47589,213863
1,31,42598,62727,68516,44001,217873
1,31,57592,58720,59639,44120,220102
1,32,41719,62240,60986,44677,209654
1,31,42348,59771,62603,43828,208581
1,35,43508,68328,61460,50452,223783
1,30,42260,60448,59898,42735,205371
1,34,42590,61098,59078,44486,207286
1,32,44750,68276,59354,42779,215191
1,32,44425,59471,68677,46856,219461
1,32,49440,62482,58757,46908,217619
1,32,44508,59463,63349,48240,215592
1,33,45824,58563,59906,46800,211126
1,30,44048,62537,58755,43719,209089
1,31,43879,60580,80044,42236,226770
1,33,43665,60282,60888,44185,209053
1,32,41166,59972,59199,42742,203111
1,33,42835,59675,59239,42475,204257
1,31,42912,59320,59204,44817,206284
1,32,43551,62072,60420,47618,213693
1,30,42628,63051,58806,42316,206831
1,33,42863,64922,67370,42169,217357
1,32,41931,59503,58952,44431,204849
1,32,42167,59466,61951,42957,206573
1,31,49775,59249,58856,42918,210829
1,33,42426,62737,58785,43012,206993
1,32,47260,60800,64361,54934,227387
1,32,47749,88498,59151,43150,238580
1,34,42608,65874,61155,46482,216153
1,31,43325,58071,61735,43259,206421
1,32,42703,63582,59060,43173,208550
1,32,42443,60575,60310,43276,206636
1,32,43241,59531,61398,42578,206780
1,28,42373,65079,59786,45276,212542
1,33,41832,58367,60884,42802,203918
1,32,42073,66589,58245,43824,210763
1,31,50021,92008,72342,44005,258407
1,34,47460,59976,64218,44785,216473
1,41,42010,57295,58206,43780,201332
1,31,43358,60671,57741,42387,204188
1,34,43324,59582,61608,66282,230830
1,30,42944,62655,58322,44961,208912
1,29,43025,60805,63055,47318,214232
1,34,44160,60864,62496,50207,217761
1,31,45639,60766,59905,42334,208675
1,33,48409,60077,63645,43315,215479
1,33,65947,57326,59706,44201,227213
1,32,44486,59396,58571,42799,205284
1,33,41633,59770,63501,43461,208398
1,32,45126,64082,68881,47927,226048
1,31,43553,59356,78973,43748,225661
1,31,43016,65340,62709,46070,217166
1,32,49757,72908,59565,42732,224994
1,32,43371,56171,61882,43327,204783
1,32,43424,59217,59344,46778,208795
1,31,42972,58866,59784,43964,205617
1,32,42234,60623,67886,43112,213887
1,35,44220,58612,62607,42799,208273
1,35,46205,59249,62879,78407,246775
1,33,53452,59556,59526,42636,215203
1,32,43256,61446,58219,44414,207367
1,31,44938,59411,62316,42751,209447
1,32,41929,62474,59504,43768,207707
1,33,43708,59620,60713,43108,207182
1,33,44418,60385,59850,62194,226880
1,32,49165,77911,70908,46241,244257
1,31,42980,60249,62157,44024,209441
1,31,43101,59246,58943,42858,204179
1,31,41703,59813,59853,44035,205435
1,32,44166,58691,56967,47813,207669
1,30,42039,62890,62118,44462,211539
1,31,42799,61336,62025,41755,207946
1,32,55570,60061,59245,43482,218390
1,31,47362,80215,62787,45071,235466
1,31,49956,59009,67096,43473,219565
1,32,44755,60690,59578,44746,209801
1,32,43739,60325,60142,43725,207963
1,34,45528,58212,60508,43815,208097
1,31,41762,62877,59668,42963,207301
1,32,39663,66060,62102,41714,209571
1,32,42050,65579,59203,41964,208828
1,31,51330,59244,60264,49209,220078
1,32,42435,60132,58731,52462,213792
1,33,42623,62530,58305,49104,212595
1,31,42483,59420,61687,41871,205492
1,30,50097,58890,58015,47896,214928
1,32,43789,60303,60148,46749,211021
1,34,43268,60489,59466,43128,206385
1,33,42458,58390,62890,43430,207201
1,32,44426,59727,58366,43537,206088
1,33,50409,66668,64615,42303,224028
1,30,61795,85247,66616,42867,256555
1,32,41928,60907,62433,43059,208359
1,33,45063,57948,59554,47611,210209
1,31,42809,58972,61069,41534,204415
1,31,43090,59857,58648,44500,206126
1,31,44622,59113,60278,43343,207387
1,32,45604,59065,59129,45497,209327
1,31,55535,70715,58082,48467,232830
1,32,56190,87002,93134,46018,282376
1,32,41701,61354,59906,43348,206341
1,34,46322,59951,60065,43934,210306
1,31,48837,62977,60210,43294,215349
1,33,45652,75421,64896,59198,245200
1,33,46537,59602,58708,44270,209150
1,34,47662,62535,58527,43544,212302
1,31,42101,58919,68296,44923,214270
1,32,45039,63227,59336,47043,214677
1,33,42494,58288,62349,45393,208557
1,32,46178,60289,59396,43557,209452
1,33,43167,62956,59532,43515,209203
1,33,43287,61650,63445,42806,211221
1,31,42465,63665,59554,45139,210854
1,33,43676,58771,61805,43727,208012
1,30,43446,61035,59398,44349,208258
1,31,42601,59570,65403,44329,211934
1,33,49096,59128,60982,43963,213202
1,31,42363,62510,59656,43785,208345
1,28,42196,91472,59473,49022,242191
1,32,47418,64494,59139,44829,215912
1,33,47796,62941,62932,57687,231389
1,34,57961,64253,80044,52915,255207
1,31,43036,60765,65876,42444,212152
1,31,41667,60820,58674,46153,207345
1,34,42175,58505,59697,43546,203957
1,32,46493,60608,73555,42603,223291
1,31,47050,60627,59118,42931,209757
1,35,52799,58094,61945,51695,224568
1,32,46622,60520,80260,51772,239206
1,34,61041,69773,60253,46180,237281
1,33,43292,63011,59644,43386,209366
1,32,43697,59937,62004,42786,208456
1,31,43164,63764,61637,45641,214237
1,31,42955,62667,72185,43426,221264
1,32,46391,60331,68345,47594,222693
1,32,43008,64408,59129,42911,209488
1,30,47521,60860,63920,51243,223574
1,30,43280,60534,58996,46419,209259
1,32,41990,63269,64934,42791,213016
1,31,47372,59035,60257,43891,210586
1,32,44605,63075,58683,43556,209951
1,32,43141,59036,63249,43093,208551
1,32,43050,58274,59991,47009,208356
1,32,41387,66425,58978,43231,210053
1,31,42046,60379,59857,43034,205347
1,32,46021,60173,64848,43971,215045
1,32,43276,59027,65518,43369,211222
1,32,42028,60647,59155,47430,209292
1,31,42956,59572,61742,44050,208351
1,31,43532,60690,58476,43646,206375
1,32,42432,70029,58985,52660,224138
1,31,42812,60019,62605,45214,210681
1,33,43886,61517,64635,48126,218197
1,34,43312,71453,65061,94625,274485
1,31,52271,68097,67312,43131,230842
1,31,43377,62230,61711,43001,210350
1,33,43437,58414,58501,49091,209476
1,32,46042,58992,60734,54361,220161
1,31,46711,59754,77321,44037,227854
1,32,49456,63024,68296,47002,227810
1,33,42519,58945,59756,46550,207803
1,31,45680,73992,63211,44161,227075
1,25,43616,80042,74782,74481,272946
1,32,50745,60584,59678,46218,217257
1,31,44147,60106,60597,43340,208221
1,31,59246,61768,64443,48658,234146
1,32,43320,70397,61450,47426,222625
1,32,42380,65183,59103,42303,209001
1,33,42877,59881,59041,46475,208307
1,25,43238,59375,61409,45119,209166
1,32,43938,63839,63063,46406,217278
1,32,43204,64643,69742,46548,224169
1,33,42908,58679,61051,42418,205089
1,31,42114,64311,58354,44395,209205
1,32,43047,60947,60021,49815,213862
1,42,45918,61922,64711,45348,217941
1,33,44691,67562,75709,42194,230189
1,31,43588,61577,60132,51261,216589
1,32,46962,59858,59061,44811,210724
1,32,42711,68595,58823,45418,215579
1,30,44085,59640,62281,43731,209767
1,30,42745,69076,58774,48429,219054
1,31,42666,61284,60514,44983,209478
1,33,61854,63385,63151,44506,232929
1,32,48551,58513,59385,52440,218921
1,31,56162,85223,65056,44411,250883
1,33,43044,59473,66852,43993,213395
1,32,42825,59783,64063,41006,207709
1,32,42419,64458,60154,45645,212708
1,32,47865,58682,58927,43102,208608
1,32,63365,63303,58537,43346,228583
1,32,47580,64334,62672,43321,217939
1,32,47163,82419,73558,54061,257233
1,33,43191,60322,59890,47586,211022
1,32,42268,60745,60787,43290,207122
1,32,46418,61658,63062,40208,211378
1,31,42213,63780,59016,42891,207931
1,31,44059,61001,62429,43851,211371
1,30,42137,57880,59560,47487,207094
1,32,43399,60637,60901,43759,208728
1,33,42425,60358,59296,45616,207728
1,32,42828,61638,62679,42889,210066
1,31,44316,60611,59872,43727,208557
1,33,44032,63428,64515,43250,215258
1,31,43125,59505,63249,43556,209466
1,31,42850,59162,59668,46344,208055
1,32,42904,59040,61403,43855,207234
1,33,43435,62398,59933,43562,209361
1,31,42330,59095,61636,44359,207451
1,31,44639,63293,62755,43844,214562
