rows,alloc_time_ns,put_time_ns,run_time_ns,run_time_2_ns,get_output_time_ns,total_time_ns
1,257,67677,80661,64280,45449,258324
1,199,42883,58139,52098,40203,193522
1,111,34859,51071,52886,35750,174677
1,103,35371,49544,51994,37661,174673
1,104,34386,51485,50270,68851,205096
1,102,34020,53551,52830,37502,178005
1,103,43954,52398,55494,38471,190420
1,101,52002,57913,72994,45085,228095
1,103,33861,54568,51376,33679,173587
1,101,33535,49969,52141,34592,170338
1,102,32433,55301,50871,43642,182349
1,101,38621,56916,51053,34190,180881
1,103,34408,57307,69089,50262,211169
1,102,34111,48508,49395,38456,170572
1,99,32791,49792,51607,34728,169017
1,99,36239,49802,50649,39546,176335
1,111,33859,49387,52582,35884,171823
1,105,34236,51596,51832,35646,173415
1,119,36408,54089,56050,37427,184093
1,110,39266,51510,53586,43758,188230
1,101,38016,53215,49831,34921,176084
1,100,35198,53944,48845,34202,172289
1,100,33551,47683,50059,32825,164218
1,100,34167,48769,50007,34511,167554
1,99,34532,49979,50822,33704,169136
1,100,33904,47385,48088,34736,164213
1,101,35001,49054,52078,33771,170005
1,97,33511,53296,57465,40378,184747
1,100,33365,52145,53960,39542,179112
1,100,54028,48912,52442,34448,189930
1,100,34887,49665,50508,35215,170375
1,101,32508,49344,48737,36555,167245
1,100,36976,48864,51480,37447,174867
1,98,38912,51436,53324,36534,180304
1,101,44810,53723,49653,44253,192540
1,100,47579,51739,60246,35271,194935
1,102,34324,50654,51110,39168,175358
1,104,34056,52037,50502,35088,171787
1,98,41452,55522,54065,34701,185838
1,99,33177,48817,53421,36820,172334
1,100,43062,50408,48678,35438,177686
1,100,34928,48677,50009,32946,166660
1,99,32879,46997,49137,32896,162008
1,100,36965,49250,47976,31070,165361
1,100,32307,57460,49007,34194,173068
1,101,38376,49713,50019,36342,174551
1,102,36051,51543,48943,40266,176905
1,99,31856,46737,50043,35497,164232
1,100,34596,58530,61418,36866,191510
1,101,35716,52053,55085,34701,177656
1,99,34133,48515,50895,36130,169772
