rows,alloc_time_ns,put_time_ns,run_time_ns,run_time_2_ns,get_output_time_ns,total_time_ns
1,161,112580,839118,117151,52949,1121959
1,71,61292,100916,93639,50214,306132
1,33,46287,94256,98825,46285,285686
1,35,39960,93928,90034,45752,269709
1,33,40780,95441,87801,46391,270446
1,32,42661,96116,87913,49157,275879
1,27,42216,93492,93013,42888,271636
1,34,44621,89211,89573,44838,268277
1,35,42815,90618,86551,46373,266392
1,28,42682,87046,87227,44159,261142
1,34,44936,87269,85788,62069,280096
1,34,44554,96330,93140,47645,281703
1,29,48927,101603,90259,45737,286555
1,27,41319,88586,84238,46662,260832
1,35,47268,89747,90274,42831,270155
1,34,45239,89324,86735,40872,262204
1,32,46952,87526,86765,45806,267081
1,34,38286,96297,80957,43003,258577
1,32,43566,92706,86861,42752,265917
1,34,40156,83844,82945,49473,256452
1,35,40801,85652,88370,43043,257901
1,32,47626,89543,84077,41360,262638
1,35,40492,82180,83655,41158,247520
1,29,37219,82829,98391,42596,261064
1,35,43988,85562,83894,49003,262482
1,35,40977,84330,82912,43287,251541
1,35,38374,87546,84319,42568,252842
1,35,49941,83928,84353,45100,263357
1,34,43721,83601,86650,42512,256518
1,33,37288,91300,87777,42673,259071
1,34,42480,84281,88585,44407,259787
1,34,44362,95898,86598,44208,271100
1,34,48270,87944,84796,45656,266700
1,34,48553,90114,87550,46566,272817
1,34,45850,86970,95190,41002,269046
1,32,44027,82234,84635,46359,257287
1,33,41449,88309,91454,42526,263771
1,28,40604,87960,87940,40587,257119
1,32,51755,88121,89275,41185,270368
1,42,42659,86215,84678,45088,258682
1,28,40802,83688,88755,42461,255734
1,34,38918,85785,86576,42693,254006
1,33,44468,84897,85977,48214,263589
1,35,40195,82273,80970,44789,248262
1,43,45257,83902,86218,43755,259175
1,43,43999,81662,83122,41920,250746
1,35,38218,85611,90763,43252,257879
1,33,43989,87180,89626,41488,262316
1,29,40946,83083,82278,39828,246164
1,44,36326,81913,84249,43600,246132
1,36,42956,83428,83150,44237,253807
1,33,36759,85296,88670,43536,254294
1,45,42765,82277,87627,42443,255157
1,33,39682,84315,83620,41940,249590
1,34,41221,89980,82924,44264,258423
1,33,38079,86252,88355,39632,252351
1,34,36525,78937,80189,40564,236249
1,49,39035,82253,81562,42671,245570
1,43,41541,89619,83472,43708,258383
1,32,51709,83470,86893,43061,265165
1,29,41707,83403,84473,42237,251849
1,33,41311,82602,82446,43135,249527
1,32,41469,83754,82207,43917,251379
1,34,40957,83728,83330,44607,252656
1,34,41049,91100,80088,42212,254483
1,28,39469,85484,85302,44313,254596
1,35,40599,86051,83587,41842,252114
1,34,42266,88865,83291,44022,258478
1,35,40931,81969,81532,41083,245550
1,34,38650,81070,84923,43423,248100
1,33,39864,86279,81262,41229,248667
1,34,39669,85000,83071,41106,248880
1,36,42025,81411,82381,41680,247533
1,33,39838,90249,84618,40422,255160
1,35,46036,85585,79304,40800,251760
1,34,45336,94462,85571,43122,268525
1,33,49576,84137,82847,42437,259030
1,33,37708,84943,88645,50157,261486
1,34,44172,83980,86228,41631,256045
1,32,42649,85787,84685,43049,256202
1,33,37757,86252,88979,41327,254348
1,33,47324,86061,90198,38887,262503
1,34,37758,80720,82832,43249,244593
1,34,38747,84432,90020,43194,256427
1,34,41492,84073,84339,47815,257753
1,34,40427,85301,81730,42584,250076
1,33,38643,87131,84514,46680,257001
1,32,40906,86777,78906,43322,249943
1,32,44628,86762,86370,41569,259361
1,33,39874,83733,81170,42562,247372
1,32,38208,85775,86903,40112,251030
1,34,57557,88332,87104,38763,271790
1,35,39561,80523,80797,42014,242930
1,33,42311,80801,86506,43948,253599
1,34,42971,84375,90965,45317,263662
1,34,40411,84896,85704,46141,257186
1,34,43461,83145,81139,42179,249958
1,33,39795,86124,83670,41798,251420
1,27,42005,83352,86303,39676,251363
1,34,37594,81672,85487,38171,242958
1,35,35380,82554,82698,42842,243509
1,34,41746,86955,82000,43588,254323
1,32,39423,82228,87096,42954,251733
1,35,42170,87898,80541,42033,252677
1,33,40234,85876,86020,41511,253674
1,35,41055,82638,83088,41946,248762
1,34,42616,84051,83926,41622,252249
1,32,40241,87469,82702,42109,252553
1,34,45814,84720,91127,43955,265650
1,33,41999,93239,86303,45920,267494
1,32,44905,95888,87254,44373,272452
1,33,43887,89281,86293,40211,259705
1,35,45808,84146,83476,42561,256026
1,34,44121,86372,92008,42673,265208
1,34,44185,91435,86840,45138,267632
1,33,40370,79495,81139,43017,244054
1,34,37406,90068,85675,41129,254312
1,34,40278,83593,86835,39867,250607
1,36,36360,82937,82695,40844,242872
1,34,42359,86869,87591,42340,259193
1,34,38968,87661,85458,40882,253003
1,33,42411,81825,79235,40840,244344
1,36,37501,86416,85046,40707,249706
1,36,46871,83168,82307,44280,256662
1,33,37574,83829,86225,47376,255037
1,33,39239,92416,79479,42073,253240
1,36,38364,86397,86409,43130,254336
1,32,42842,86387,86582,45294,261137
1,34,41044,84581,81267,42279,249205
1,34,39790,87687,90337,43894,261742
1,33,45247,86997,92864,47625,272766
1,32,38197,85009,85933,45040,254211
1,34,49430,87301,87612,45281,269658
1,33,50146,85810,85308,49362,270659
